13296;11040965;подвал-17в
13301;;2318-27
13306;;2318-18
13308;;2318-26
13309;;2318-26
13314;10734735;Подвал-40
13315;10734810;Подвал-40
13316;10734742;Подвал-40
13318;10734766;Подвал-40
13319;10734759;Подвал-40
13324;;2318-18
13326;;2318-20
13329;10598191;Подвал-38
13332;11195146;подвал-17б
13333;11195474;подвал-17б
13346;;2318-26
13347;;2318-26
13358;11193630;подвал-17б
13359;;2318-19
13362;;2318-26
13364;11258148;Подвал-7б
13365;;2318-26
13376;10898321;подвал-21б
13377;;2318-19
13378;;2318-19
13394;11043792;подвал-17а
13395;;2318-19
13396;;2318-19
13422;;2318-26
13423;;2318-26
13429;11198581;подвал-17а
13432;10848180;№ подвал-41Б
13439;11197799;подвал-17а
13440;10819180;№ подвал-41в
13455;10595152;Подвал-38
13463;10812044;Техэтаж(кх)-09
13464;10298770;Подвал-бортик вдоль окон
13472;113125413;Подвал-46а
13473;10797600;подвал 21а
13474;11154785;Подвал-45а
13476;;2318-26
13478;;2318-18
13480;;2318-26
13504;11032588;подвал-19В
13511;11134855;Подвал-6 в
13512;11033134;подвал-19В
13515;;2318-26
13516;11302759;подвал 45в
13519;11111221;Подвал-45б
13524;11261384;Подвал-06а
13528;;2318-26
13529;11016984;подвал-19В
13533;10687451;Подвал-39
13546;10927519;№ подвал-43а
13547;10927505;№ подвал-43а
13548;11031291;подвал-19В
13549;;2318-26
13550;;2318-26
13559;;2318-26
13562;10921760;№ подвал-43б
13563;11020844;подвал-19б
13565;;2318-27
13566;;2318-25
13567;;2318-26
13568;;2318-26
13569;;2318-26
13570;;2318-25
13571;;2318-26
13572;;2318-26
13573;;2318-26
13574;;2318-26
13575;;2318-26
13576;10640296;Подвал-38
13577;;2318-26
13578;;2318-26
13579;;2318-26
13582;11264637;Подвал-55
13587;11019862;подвал-19б
13589;;2318-19
13590;;2318-19
13592;;2318-19
13593;10640456;Подвал-38
13594;;2318-26
13595;;2318-26
13596;;2318-26
13597;11264491;Подвал-55
13598;;2318-19
13599;11018902;подвал-19б
13600;11018933;подвал-19б
13601;;2318-26
13601;11434412;подвал-47Б
13602;;2318-19
13608;;2318-26
13609;;2318-26
13612;;2318-26
13613;;2318-26
13614;;2318-26
13615;;2318-26
13616;;2318-26
13617;10981733;№ подвал-43в
13619;10955413;подвал-19а
13620;;2318-26
13622;;2318-19
13624;;Прочие СА
13625;;2318-26
13641;;2318-19
13740;;2318-24
13759;;2318-26
13760;10853108;№ подвал-41Б
13787;10510940;Подвал-03
13788;10510957;Подвал-03
13789;10510964;Подвал-03
13796;11037781;подвал-16а
13808;10673560;Подвал-04
13823;11498735;подвал-47В
13844;11447023;Подвал 48 а 7п СА
14070;;2318-19
14100;;2318-19
14188;;2318-18
14242;10685990;Подвал-39
14242;10685990;Подвал-40
14266;11018919;подвал-19б
14346;;2318-19
14354;10170236;2318-13
14485;11278436;Подвал 48а - 1 полка (продолжение)
14668;10683590;Подвал-40
14695;11276357;подвал-47а
14899;;2312-37
15123;10918043;Подвал-46б
15206;11335221;подвал-47Б
15239;11223559;Подвал-54
15262;11257813;Подвал-7б
15722;10834671;подвал-08а
15857;10633144;Подвал-39
16431;10683194;Подвал-40
16993;11541264;ПОДВАЛ 48б 7 полка
17017;11554813;подвал-47В
17047;10841464;подвал 23Б
17416;;тех.этаж ООУЛ 08.10.2015
17417;;тех.этаж ООУЛ 08.10.2015
17420;;тех.этаж ООУЛ 08.10.2015
17421;;тех.этаж ООУЛ 08.10.2015
17422;;тех.этаж ООУЛ 08.10.2015
17423;;тех.этаж ООУЛ 08.10.2015
17426;;тех.этаж ООУЛ 08.10.2015
